software_name,cpe_uri,cpe_vendor,cpe_product,match_confidence,status,nvd_url,last_verified_date,deprecated_at,deprecated_reason,product_id,cpe_coverage_flag,data_quality_notes
ARM Trusted Firmware (TF-A),cpe:2.3:a:arm:trusted_firmware-a:-:*:*:*:*:*:*:*,arm,trusted_firmware-a,partial,partial,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=arm%20trusted%20firmware%20%28tf-a%29,2026-08-07,,,arm-trusted-firmware-tf-a,,
ARM TrustZone,,,,,not_found,,,,,arm-trustzone,,
Arqit 6WIND Telco PQC,,,,,not_found,,,,,arqit-6wind-telco-pqc,,
Arqit Encryption Intelligence,,,,,not_found,,,,,arqit-encryption-intelligence,,
Arqit QuantumCloud,,,,,not_found,,,,,arqit-quantumcloud,,
Ascertia ADSS PKI Server,,,,,not_found,,,,,ascertia-adss-pki-server,,
Ascertia ADSS Server/SAM,,,,,not_found,,,,,ascertia-adss-server-sam,,
Ascertia ADSS Signing Server,,,,,not_found,,,,,ascertia-adss-signing-server,,
ASI-HSM AHX5 KNET Cryptographic Module,,,,,not_found,,,,,ASI-HSM-AHX5-KNET-Cryptographic-Module,,
ASUS Post-Quantum Cryptography Module,,,,,not_found,,,,,asus-post-quantum-cryptography-module,,
ASUSTOR ADM 5.1 PQC,,,,,not_found,,,,,asustor-adm-5-1-pqc,,
ASUSTOR Post-Quantum Cryptography Module,,,,,not_found,,,,,asustor-post-quantum-cryptography-module,,
AsyncSSH,cpe:2.3:a:asyncssh_project:asyncssh:0.1.0:*:*:*:*:*:*:*,asyncssh_project,asyncssh,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=asyncssh%20asyncssh,2026-08-07,,,asyncssh,,
AT&T Business Quantum-Resilient SD-WAN (Cisco 8000 Series Secure Router),,,,,not_found,,,,,Preparing-for-The-Quantum-Era-AT-T-Busin,,
Auth0 (Okta Customer Identity),,,,,not_found,,,,,auth0-okta-customer-identity,,
AUTOCRYPT PKI-Vehicles,,,,,not_found,,,,,autocrypt-pki-vehicles,,
Avalanche,,,,,not_found,,,,,avalanche,,
AWS API Gateway PQC,,,,,not_found,,,,,aws-api-gateway-pqc,,
AWS Application Load Balancer (ALB),,,,,not_found,,,,,aws-application-load-balancer-alb,,
AWS Certificate Manager,,,,,not_found,,,,,aws-certificate-manager,,
AWS CloudHSM,,,,,not_found,,,,,aws-cloudhsm,,
AWS Identity and Access Management (IAM),,,,,not_found,,,,,aws-identity-and-access-management-iam,,
AWS Key Management Service Cryptographic Algorithm Library,,,,,not_found,,,,,AWS-Key-Management-Service-Cryptographic,,
AWS KMS,,,,,not_found,,,,,aws-kms,,
AWS KMS (Cloud Gateway),,,,,not_found,,,,,aws-kms-cloud-gateway,,
AWS Payments Cryptography PQC,,,,,not_found,,,,,aws-payments-cryptography-pqc,,
AWS Private CA PQC,,,,,not_found,,,,,aws-private-ca-pqc,,
AWS s2n-tls,,,,,not_found,,,,,aws-s2n-tls,,
AWS Secrets Manager,,,,,not_found,,,,,aws-secrets-manager,,
AWS Transfer Family,,,,,not_found,,,,,aws-transfer-family,,
AWS-LC,cpe:2.3:a:amazon:aws-lc-sys:-:*:*:*:*:rust:*:*,amazon,aws-lc-sys,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=amazon%20aws-lc,2026-08-07,,,aws-lc,,
Azure AKS,,,,,not_found,,,,,azure-aks,,
Azure Dedicated HSM (Marvell LiquidSecurity),,,,,not_found,,,,,,,
Azure DevOps,,,,,not_found,,,,,azure-devops,,
Azure Key Vault,,,,,not_found,,,,,azure-key-vault,,
Azure Managed HSM,,,,,not_found,,,,,azure-managed-hsm,,
Barracuda Email Protection,,,,,not_found,,,,,barracuda-email-protection,,
BERTEN MLDS-B235,,,,,not_found,,,,,berten-mlds-b235,,
BERTEN MLKE-B135,,,,,not_found,,,,,berten-mlke-b135,,
Best PQC MLKEM,,,,,not_found,,,,,best-pqc-mlkem,,
BeyondTrust Pathfinder Platform,,,,,not_found,,,,,beyondtrust-pathfinder-platform,,
Bitcoin Core,cpe:2.3:a:bitcoincore:bitcoin_core:0.16.2:*:*:*:*:*:*:*,bitcoincore,bitcoin_core,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=bitcoin%20core,2026-08-07,,,bitcoin-core,,
BitGo,,,,,not_found,,,,,bitgo,,
BitLocker (Windows),,,,,not_found,,,,,bitlocker-windows,,
Bitvise SSH Server,,,,,not_found,,,,,bitvise-ssh-server,,
Bitwarden,cpe:2.3:a:bitwarden:server:1.0.0:*:*:*:*:*:*:*,bitwarden,server,partial,partial,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=bitwarden%20bitwarden,2026-08-07,,,bitwarden,,
BlackBerry Certicom Security Builder FIPS Module,,,,,not_found,,,,,blackberry-certicom-security-builder-fips-module,,
BlackBerry QNX Hypervisor 8.0 for Safety,,,,,not_found,,,,,blackberry-qnx-hypervisor-8,,
Blocare PQC Module,,,,,not_found,,,,,blocare-pqc-module,,
BoringCrypto,,,,,not_found,,,,,boringcrypto,,
BoringSSL,cpe:2.3:a:google:chrome:0.2.149.29:*:*:*:*:*:*:*,google,chrome,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=google%20chrome,2026-08-07,,,boringssl,,
Botan,cpe:2.3:a:botan_project:botan:1.10.0:*:*:*:*:*:*:*,botan_project,botan,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=botan%20botan,2026-09-02,,,botan,,
Bouncy Castle,cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.36:*:*:*:*:*:*:*,bouncycastle,legion-of-the-bouncy-castle-java-crytography-api,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=bouncy%20castle,2026-08-07,,,bouncy-castle-java,,
Bouncy Castle C# .NET,,,,,not_found,,,,,bouncy-castle-c-net,,
Bouncy Castle C\# / Java,,,,,not_found,,,,,bouncy-castle-java,,
Bouncy Castle Java,cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.36:*:*:*:*:*:*:*,bouncycastle,legion-of-the-bouncy-castle-java-crytography-api,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=bouncy%20castle%20java,2026-09-07,,,bouncy-castle-java,,
Bouncy Castle Java LTS,cpe:2.3:a:bouncycastle:bouncy_castle_for_java_lts:2.73.0:*:*:*:*:*:*:*,bouncycastle,bouncy_castle_for_java_lts,partial,partial,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=bouncy%20castle%20java%20lts,2026-09-07,,,bouncy-castle-java-lts,,
Bradesco IBM Quantum Safe,,,,,not_found,,,,,bradesco-ibm-quantum-safe,,
Brave Browser,cpe:2.3:a:brave:browser:1.9.56:*:*:*:*:android:*:*,brave,browser,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=brave%20browser,2026-08-07,,,brave-browser,,
Broadcom Avi (NSX ALB),,,,,not_found,,,,,broadcom-avi-nsx-alb,,
Broadcom Emulex SecureHBA,,,,,not_found,,,,,broadcom-emulex-securehba,,
Broadcom PGP Cryptographic Engine,,,,,not_found,,,,,Broadcom-PGP-Cryptographic-Engine,,
Broadcom Symantec DLP,,,,,not_found,,,,,broadcom-symantec-dlp,,
Broadcom Symantec SES,,,,,not_found,,,,,broadcom-symantec-ses,,
BTQ Bitcoin Quantum,,,,,not_found,,,,,btq-bitcoin-quantum,,
BTQ Bitcoin Quantum Testnet,,,,,not_found,,,,,btq-bitcoin-quantum-testnet,,
C-DOT ML-KEM Cryptographic Algorithms,,,,,not_found,,,,,c-dot-ml-kem-cryptographic-algorithms,,
C-DOT Quantum CEM Encryptor,,,,,not_found,,,,,c-dot-quantum-cem-encryptor,,
Caddy Server,,,,,not_found,,,,,caddy-server,,
Cardano,,,,,not_found,,,,,cardano,,
CAST KiviPQC-KEM,,,,,not_found,,,,,cast-kivipqc-kem,,
CATO Networks SASE,,,,,not_found,,,,,cato-networks-sase,,
CBOMkit,,,,,not_found,,,,,ibm-cbomkit,,
cdxgen,,,,,not_found,,,,,cyclonedx-cdxgen,,
Cellcrypt PQC Communications,,,,,not_found,,,,,cellcrypt-pqc-communications,,
CentOS Stream,cpe:2.3:o:centos:stream:8:*:*:*:*:*:*:*,centos,stream,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=centos%20stream,2026-08-07,,,centos-stream,,
Certicom Code Signing and Key Management Server,,,,,not_found,,,,,certicom-pqc-code-signing,,
CGI Momentum Java Cryptographic Module,,,,,not_found,,,,,cgi-momentum-java-cryptographic-module,,
Chainguard FIPS Provider for OpenSSL (NEON),,,,,not_found,,,,,Chainguard-FIPS-Provider-for-OpenSSL-NEO,,
Chainguard FIPS Provider for OpenSSL (SHA3_ASM),,,,,not_found,,,,,Chainguard-FIPS-Provider-for-OpenSSL-SHA,,
Chainguard FIPS Provider for OpenSSL (SHA3_AVX2),,,,,not_found,,,,,Chainguard-FIPS-Provider-for-OpenSSL-SHA-2,,
Chainguard FIPS Provider for OpenSSL (SHA3_AVX512),,,,,not_found,,,,,Chainguard-FIPS-Provider-for-OpenSSL-SHA-3,,
Chainguard FIPS Provider for OpenSSL (SHA3_AVX512VL),,,,,not_found,,,,,Chainguard-FIPS-Provider-for-OpenSSL-SHA-4,,
Chainguard FIPS Provider for OpenSSL (SHA3_CE),,,,,not_found,,,,,Chainguard-FIPS-Provider-for-OpenSSL-SHA-5,,
Chainguard FIPS Provider for OpenSSL (SHA_AVX),,,,,not_found,,,,,Chainguard-FIPS-Provider-for-OpenSSL-SHA-6,,
Chainguard FIPS Provider for OpenSSL (SHA_SHANI),,,,,not_found,,,,,Chainguard-FIPS-Provider-for-OpenSSL-SHA-7,,
Chainguard FIPS Provider for OpenSSL (SHA_SSSE3),,,,,not_found,,,,,Chainguard-FIPS-Provider-for-OpenSSL-SHA-8,,
Check Point Quantum,cpe:2.3:h:checkpoint:quantum_security_management:-:*:*:*:*:*:*:*,checkpoint,quantum_security_management,partial,partial,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=check%20point%20quantum,2026-08-07,,,check-point-quantum,,
Checkmarx One,,,,,not_found,,,,,checkmarx-one,,
Chelpis Quantum PQC (Taiwan),,,,,not_found,,,,,chelpis-quantum-pqc-taiwan,,
China Telecom Quantum Group,,,,,not_found,,,,,china-telecom-quantum-group,,
ChromeOS,,,,,not_found,,,,,chromeos,,
chrony (NTS-KE),,,,,not_found,,,,,chrony-ntpd,,
Ciena WaveLogic 6 Extreme,,,,,not_found,,,,,ciena-wavelogic-6-extreme,,
Cilium Service Mesh PQC,,,,,not_found,,,,,cilium-service-mesh-pqc,,
CipherLinq,,,,,not_found,,,,,CipherLinq,,
CipherPlus PQC Cryptographic Module,,,,,not_found,,,,,cipherplus-pqc-cryptographic-module,,
CIQ Rocky Linux CAVP PQC,,,,,not_found,,,,,ciq-rocky-linux-cavp-pqc,,
CIRCL,cpe:2.3:a:secretcircle:secret_circle_-_talk_freely:2.2.00.26:*:*:*:*:android:*:*,secretcircle,secret_circle_-_talk_freely,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=circl%20circl,2026-08-07,,,circl,,
CircleCI,,,,,not_found,,,,,circleci,,
CISA PQC Migration Framework,,,,,not_found,,,,,cisa-pqc-migration-framework,,
Cisco AI Defense (formerly Robust Intelligence Platform),,,,,not_found,,,,,robust-intelligence-cisco-ai-defense,,
Cisco ASA (Adaptive Security Appliance),,,,,not_found,,,,,cisco-asa-adaptive-security-appliance,,
Cisco Catalyst 9500 PQC,,,,,not_found,,,,,cisco-catalyst-9500-pqc,,
Cisco Catalyst Center,cpe:2.3:a:cisco:dna_center:1.2.5:*:*:*:*:*:*:*,cisco,dna_center,partial,partial,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=cisco%20catalyst%20center,2026-08-07,,,cisco-catalyst-center,,
Cisco Identity Services Engine (ISE),cpe:2.3:h:cisco:identity_services_engine:-:*:*:*:*:*:*:*,cisco,identity_services_engine,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=cisco%20identity%20services%20engine%20%28ise%29,2026-08-07,,,cisco-identity-services-engine-ise,,
Cisco IOS XE PQC,,,,,not_found,,,,,cisco-ios-xe-pqc,,
Cisco IOS XR,cpe:2.3:o:cisco:ios_xr_for_crs-1:-:*:*:*:*:*:*:*,cisco,ios_xr_for_crs-1,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=cisco%20ios%20xr,2026-08-07,,,cisco-ios-xr,,
Cisco Meraki MX (Cloud-Managed Firewall),,,,,not_found,,,,,cisco-meraki-mx-cloud-managed-firewall,,
Cisco Secure Client (AnyConnect),,,,,not_found,,,,,cisco-secure-client-anyconnect,,
Cisco Webex,cpe:2.3:a:cisco:webex_recording_format_player:27.21.10:*:*:*:*:*:*:*,cisco,webex_recording_format_player,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=cisco%20webex,2026-08-07,,,cisco-webex,,
citadel_pqcrypto,,,,,not_found,,,,,citadel-pqcrypto,,
Citrix ADC (NetScaler),,,,,not_found,,,,,citrix-adc-netscaler,,
Citrix CVAD,,,,,not_found,,,,,citrix-virtual-apps-and-desktops,,
Citrix Virtual Apps and Desktops,cpe:2.3:a:citrix:virtual_apps_and_desktops:1903:*:*:*:ltsr:*:*:*,citrix,virtual_apps_and_desktops,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=citrix%20virtual%20apps%20and%20desktops,2026-08-07,,,citrix-virtual-apps-and-desktops,,
Claroty Platform,,,,,not_found,,,,,claroty-platform,,
Classic McEliece Reference,,,,,not_found,,,,,classic-mceliece-reference,,
CLEAR Cryptosystem,,,,,not_found,,,,,clear-cryptosystem,,
Cloudera Cryptographic Module for Java,,,,,not_found,,,,,cloudera-cryptographic-module-for-java,,
Cloudflare CIRCL,cpe:2.3:a:cloudflare:circl:1.3.3:*:*:*:*:go:*:*,cloudflare,circl,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=cloudflare%20circl,2026-08-07,,,cloudflare-circl,,
Cloudflare Edge Network,,,,,not_found,,,,,cloudflare-edge-network,,
Cloudflare Zero Trust,,,,,not_found,,,,,cloudflare-zero-trust,,
Cloudian-FJA (FIPS Java API),,,,,not_found,,,,,Cloudian-FJA-FIPS-Java-API,,
CockroachDB Encryption,,,,,not_found,,,,,cockroachdb-encryption,,
Code Siren Post-Quantum Cryptographic (PQC) Library,,,,,not_found,,,,,code-siren-post-quantum-cryptographic-pqc-library,,
Codebat ML-DSA Cryptographic Engine,,,,,not_found,,,,,codebat-ml-dsa-cryptographic-engine,,
Codegic Khatim PKI Server,,,,,not_found,,,,,codegic-khatim-pki-server,,
Codegic Khatim Sign Server,,,,,not_found,,,,,codegic-khatim-sign-server,,
Cohesity DataCloud,,,,,not_found,,,,,cohesity-datacloud,,
Coinbase Custody,,,,,not_found,,,,,coinbase-custody,,
Commvault Cloud,,,,,not_found,,,,,commvault-cloud,,
composite_mkcert,,,,,not_found,,,,,pqctoday-composite-mkcert,,
Confluent Cloud Kafka PQC,,,,,not_found,,,,,confluent-cloud-kafka-pqc,,
Copper.co,,,,,not_found,,,,,copper-co,,
coreboot,cpe:2.3:o:coreboot:coreboot:4.13:*:*:*:*:*:*:*,coreboot,coreboot,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=coreboot%20coreboot,2026-08-07,,,coreboot,,
CoreDNS PQC DNSSEC,,,,,not_found,,,,,coredns-pqc-dnssec,,
Cosmian covercrypt,,,,,not_found,,,,,cosmian-covercrypt,,
Cosmian KMS,,,,,not_found,,,,,cosmian-kms,,
Cosmos/Tendermint,,,,,not_found,,,,,cosmos-tendermint,,
Cranium AI Security Platform,,,,,not_found,,,,,cranium-ai-security-platform,,
CREDEBL,,,,,not_found,,,,,credebl,,
CrowdStrike Falcon,cpe:2.3:a:crowdstrike:falcon:6.31.14505.0:*:*:*:*:*:*:*,crowdstrike,falcon,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=crowdstrike%20falcon,2026-08-07,,,crowdstrike-falcon,,
Crucible,,,,,not_found,,,,,crucible,,
Crypto Quantique QDID Platform,,,,,not_found,,,,,crypto-quantique-qdid-platform,,
Crypto++ (cryptopp),,,,,not_found,,,,,crypto-cryptopp,,
Crypto4A QxEDGE,,,,,not_found,,,,,crypto4a-qxedge,,
Crypto4A QxHSM,,,,,not_found,,,,,crypto4a-qxhsm,,
Crypto4A QxVault,,,,,not_found,,,,,crypto4a-qxvault,,
Cryptographic library NesLib 6.11.0 on ST31R480 A01 référence NesLib version 6.11,,,,,not_found,,,,,Cryptographic-library-NESLIB-6-11-3-on-S,,
Cryptographic library NESLIB 6.11.3 on ST31R480 A01 (version 6.11.3)(ANSSI-CC-2025/26),,,,,not_found,,,,,Cryptographic-library-NESLIB-6-11-3-on-S,,
Cryptographic library NESLIB 6.11.3 on ST31R480 B01 (version 6.11.3) (ANSSI-CC-2025/27),,,,,not_found,,,,,Cryptographic-library-NESLIB-6-11-3-on-S-2,,
Cryptographic library NesLib 6.11.6 on ST33K1M5A and ST33K1M5M B04 Version : 6.11.6 / B04 (EUCC-3090-2026-17),,,,,not_found,,,,,Cryptographic-library-NesLib-6-11-6-on-S,,
Cryptographic library NesLib 6.11.6 on ST33K1M5C and ST33K1M5T C03 Version : 6.11.6 / C03 (EUCC-3090-2026-16),,,,,not_found,,,,,Cryptographic-library-NesLib-6-11-6-on-S-2,,
cryptography (pyca/cryptography),,,,,not_found,,,,,python-cryptography,,
Cryptomathic CKMS,,,,,not_found,,,,,cryptomathic-ckms,,
Cryptomathic CrystalKey 360,,,,,not_found,,,,,cryptomathic-crystalkey-360,,
CryptoNext COMPASS Network Probe,,,,,not_found,,,,,cryptonext-compass-network-probe,,
CryptoNext COMPASS Probe,,,,,not_found,,,,,cryptonext-compass-network-probe,,
CryptoNext Quantum-Safe Library,,,,,not_found,,,,,cryptonext-quantum-safe-library,,
CryptoNext Quantum-Safe Library (C-QSL),,,,,not_found,,,,,cryptonext-quantum-safe-library-c-qsl,,
CryptoScan,,,,,not_found,,,,,CryptoScan,,
Cryptosense Analyzer,,,,,not_found,,,,,cryptosense-analyzer,,
CryptPad PQC Collaboration,,,,,not_found,,,,,cryptpad-pqc-collaboration,,
Cryptsoft KMIP & PKCS#11 SDK,,,,,not_found,,,,,cryptsoft,,
CRYSTALS Reference Implementations,,,,,not_found,,,,,crystals-reference-implementations,,
CTERA Crypto Module (Java),,,,,not_found,,,,,ctera-crypto-module-java,,
curl PQC,,,,,not_found,,,,,curl-pqc,,
CyberArk Conjur,cpe:2.3:a:cyberark:conjur_service_broker:-:*:*:*:*:pivotal_cloud_foundry:*:*,cyberark,conjur_service_broker,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=cyberark%20conjur,2026-08-07,,,cyberark-conjur,,
Cyberint (Check Point),,,,,not_found,,,,,cyberint-check-point,,
CyberZero Quantanaut,,,,,not_found,,,,,cyberzero-quantanaut,,
CZERTAINLY,,,,,not_found,,,,,czertainly,,
Dashlane,cpe:2.3:a:dashlane:dashlane:-:*:*:*:*:windows:*:*,dashlane,dashlane,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=dashlane%20dashlane,2026-08-07,,,dashlane,,
Debian 12 (Bookworm),,,,,not_found,,,,,debian-12-bookworm,,
Debian 13 (Trixie),,,,,not_found,,,,,debian-13-trixie,,
Delinea Secret Server,cpe:2.3:a:delinea:secret_server:10.9.000002:*:*:*:*:*:*:*,delinea,secret_server,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=delinea%20secret%20server,2026-08-07,,,delinea-secret-server,,
Dell BSAFE Crypto Module for C,cpe:2.3:a:dell:bsafe_crypto-module-for-c:3.0:*:*:*:*:*:*:*,dell,bsafe_crypto-module-for-c,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=dell%20bsafe%20crypto%20module%20for%20c,2026-08-07,,,dell-bsafe-crypto-module-for-c,,
Dell BSAFE Crypto-J,cpe:2.3:a:dell:bsafe_crypto-j:-:*:*:*:*:*:*:*,dell,bsafe_crypto-j,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=dell%20bsafe%20crypto-j,2026-08-07,,,dell-bsafe-crypto-j,,
Dell PowerStore OS 4.0,,,,,not_found,,,,,dell-powerstore-os-4-0,,
Descope Customer & Agentic Identity Platform,,,,,not_found,,,,,descope-platform,,
DFNS,,,,,not_found,,,,,dfns,,
DigiCert CertCentral,,,,,not_found,,,,,digicert-certcentral,,
DigiCert Device Trust Manager,,,,,not_found,,,,,digicert-device-trust-manager,,
DigiCert ONE,,,,,not_found,,,,,digicert-one,,
DigiCert SigningHub,,,,,not_found,,,,,digicert-signinghub,,
DigiCert Software Trust Manager,,,,,not_found,,,,,digicert-software-trust-manager,,
DigiCert Trust Lifecycle Manager,,,,,not_found,,,,,digicert-trust-lifecycle-manager,,
